title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
Totally Killer,4.3,323,Prime Video,2023.0,R,Nahnatchka Khan,"Kiernan Shipka,Olivia Holt,Julie Bowen",4.830464886251237
Guy Ritchie's The Covenant,4.7,13268,Prime Video,2023.0,R,Guy Ritchie,"Jake Gyllenhaal,Dar Salim,Antony Starr",5.99
A Million Miles Away,4.9,1126,Prime Video,2023.0,PG,Alejandra Márquez Abella,"Michael Peña,Rosa Salazar",4.830464886251237
Kelce,5.0,570,Prime Video,2023.0,R,Don Argott,"Jason Kelce,Travis Kelce,Kylie Kelce,Connor Barwin",4.830464886251237
Despicable Me 3,4.8,31813,Prime Video,2017.0,PG,"Pierre Coffin,Kyle Balda","Steve Carell,Kristen Wiig,Trey Parker",4.830464886251237
Those Who Wish Me Dead,4.3,7403,Prime Video,2021.0,R,Taylor Sheridan,"Angelina Jolie,Nicholas Hoult,Jon Bernthal",3.79
Renfield,4.1,9259,Prime Video,2023.0,R,Chris McKay,"Nicholas Hoult,Nicolas Cage,Awkwafina",5.99
The Proposal,4.8,52086,Prime Video,2009.0,PG-13,Anne Fletcher,"Betty White,Sandra Bullock,Ryan Reynolds",4.830464886251237
Black Adam,4.2,22762,Prime Video,2022.0,PG-13,Jaume Collet-Serra,"Dwayne Johnson,Aldis Hodge,Pierce Brosnan",3.79
A Thousand and One,4.5,1317,Prime Video,2023.0,R,A.V. Rockwell,"Teyana Taylor,Will Catlett,Josiah Cross,Aven Courtney",5.89
Pokémon Detective Pikachu,4.6,52376,Prime Video,2019.0,PG,Rob Letterman,"Ryan Reynolds,Justice Smith,Kathryn Newton",4.830464886251237
Top Gun: Maverick,4.8,107727,Prime Video,2022.0,PG-13,Joseph Kosinski,"Miles Teller,Val Kilmer,Tom Cruise",3.99
DC League of Super-Pets,4.6,8156,Prime Video,2022.0,PG,Jared Stern,"Dwayne Johnson,Kevin Hart,Kate Mckinnon",3.99
Aquaman,4.6,87453,Prime Video,2018.0,PG-13,James Wan,"Jason Momoa,Amber Heard,Patrick Wilson",3.79
Dungeons & Dragons: Honor Among Thieves,4.4,16970,Prime Video,2023.0,PG-13,"Jonathan Goldstein,John Francis Daley","Chris Pine,Michelle Rodriguez,Regé-Jean Page",5.89
Mechanic: Resurrection,4.6,11708,Prime Video,2016.0,R,Dennis Gansel,"Jason Statham,Jessica Alba,Tommy Lee Jones",4.830464886251237
The Suicide Squad (2021),4.5,6303,Prime Video,2021.0,R,James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",3.79
The Batman,4.0,14732,Prime Video,2022.0,PG-13,Matt Reeves,"Robert Pattinson,Zoë Kravitz,Jeffrey Wright",3.99
F9: The Fast Saga,4.4,57096,Prime Video,2021.0,PG-13,Justin Lin,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson",4.830464886251237
Sitting In Bars With Cake,4.6,118,Prime Video,2023.0,PG-13,Trish Sie,"Yara Shahidi,Odessa A’zion,Bette Midler",4.830464886251237
The Other Woman,4.7,24838,Prime Video,2014.0,PG-13,Nick Cassavetes,"Cameron Diaz,Leslie Mann,Kate Upton",4.830464886251237
Twilight,4.7,36270,Prime Video,2008.0,R,Catherine Hardwicke,"Kristen Stewart,Robert Pattinson,Billy Burke",3.99
Teenage Mutant Ninja Turtles: Mutant Mayhem | Extended Preview,4.6,812,Prime Video,2023.0,PG,"Jeff Rowe,Kyler Spears","Micah Abbey,Shamon Brown,Nicolas Cantu,Brady Noon",5.99
Mike and Dave Need Wedding Dates (4K UHD),4.5,8980,Prime Video,2016.0,R,Jake Szymanski,"Anna Kendrick,Zac Efron,Adam Devine",4.830464886251237
The Equalizer 3 - Bonus X-Ray Edition,4.5,448,Prime Video,2023.0,R,Antoine Fuqua,"Denzel Washington,Dakota Fanning,Eugenio Mastrandrea",19.99
Pitch Perfect,4.7,40717,Prime Video,2012.0,PG-13,Jason Moore,"Anna Kendrick,Skylar Astin,Rebel Wilson,Adam Devine",4.830464886251237
Jurassic World Dominion,4.4,65028,Prime Video,2022.0,PG-13,Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Laura Dern",3.99
Champions,4.6,4576,Prime Video,2023.0,PG-13,Bobby Farrelly,"Woody Harrelson,Kaitlin Olson,Matt Cook",5.99
Rock Dog 2: Rock Around the Park,4.3,2013,Prime Video,2021.0,R,Mark Baldo,"Andrew Francis,Ashleigh Ball,Brian Dobson",4.830464886251237
The Forever Purge,4.2,30058,Prime Video,2021.0,R,Everardo Valerio Gout,"Ana de la Reguera,Tenoch Huerta,Cassidy Freeman",4.830464886251237
Halloween Ends,4.1,2875,Prime Video,2022.0,R,David Gordon Green,"Jamie Lee Curtis,Andi Matichak,Rohan Campbell",3.99
Elvis,4.4,27666,Prime Video,2022.0,PG-13,Baz Luhrmann,"Tom Hanks,Austin Butler,Helen Thomson",3.79
Meg 2: The Trench,4.3,5721,Prime Video,2023.0,PG-13,Ben Wheatley,"Jason Statham,Wu Jing,Sophia Shuya Cai,Page Kennedy",5.99
Unhinged,4.4,73933,Prime Video,2020.0,R,Derrick Borte,"Russell Crowe,Caren Pistorius,Gabriel Bateman",2.79
Barbie,4.5,1639,Prime Video,2023.0,PG-13,Greta Gerwig,"Margot Robbie,Ryan Gosling,America Ferrera",24.99
Joker,4.5,142807,Prime Video,2019.0,R,Todd Phillips,"Joaquin Phoenix,Robert De Niro,Zazie Beetz",3.99
Smurfs: The Lost Village,4.7,7319,Prime Video,2017.0,PG,Kelly Asbury,"Demi Lovato,Rainn Wilson,Joe Manganiello",4.830464886251237
That's My Boy,4.5,11617,Prime Video,2012.0,R,Sean Anders,"Adam Sandler,Andy Samberg,Leighton Meester,James Caan",4.830464886251237
The Bourne Legacy,4.7,17021,Prime Video,2012.0,PG-13,Tony Gilroy,"Jeremy Renner,Rachel Weisz,Edward Norton,Joan Allen",3.79
The Spy Who Dumped Me,4.4,6941,Prime Video,2018.0,R,Susanna Fogel,"Mila Kunis,Kate McKinnon,Justin Theroux",4.830464886251237
Old,4.0,44068,Prime Video,2021.0,PG-13,M. Night Shyamalan,"Gael Garcia Bernal,Vicky Krieps,Alex Wolff",4.830464886251237
John Wick: Chapter 4,4.6,41478,Prime Video,2023.0,R,Chad Stahelski,"Keanu Reeves,Donnie Yen,Bill Skarsgård",5.99
Sicario,4.7,54268,Prime Video,2015.0,R,Denis Villeneuve,"Emily Blunt,Benicio Del Toro",4.830464886251237
The Addams Family,4.6,43712,Prime Video,2019.0,PG,Conrad Vernon,"Oscar Isaac,Charlize Theron,Chloë Grace Moretz",4.830464886251237
The Super Mario Bros. Movie - Bonus X-Ray Edition,4.8,43543,Prime Video,2023.0,PG,"Aaron Horvath,Michael Jelenic","Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Black",5.99
My Fault,4.7,927,Prime Video,2023.0,R,Domingo González,"Nicole Wallace,Gabriel Guevara,Marta Hazas",4.830464886251237
Sonic the Hedgehog 2,4.7,26592,Prime Video,2022.0,PG,Jeff Fowler,"James Marsden,Tika Sumpter,Natasha Rothwell",3.89
Jonah Hex,4.4,4307,Prime Video,2010.0,PG-13,Jimmy Hayward,"Josh Brolin,John Malkovich,Megan Fox",2.99
Parker,4.5,5516,Prime Video,2013.0,R,Taylor Hackford,"Jason Statham,Jennifer Lopez,Michael Chiklis",4.830464886251237
The Twilight Saga: New Moon,4.7,17894,Prime Video,2009.0,PG-13,Chris Weitz,"Dakota Fanning,Graham Greene,Elizabeth Reaser",3.99
Wonder Woman 1984,4.1,28644,Prime Video,2020.0,PG-13,Patty Jenkins,"Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal",3.99
Angel Eyes,4.7,1380,Prime Video,2001.0,R,Luis Mandoki,"Jennifer Lopez,Jim Caviezel,Terrence Howard",3.59
Creed III,4.6,15089,Prime Video,2023.0,PG-13,Michael B. Jordan,"Michael B. Jordan,Tessa Thompson",5.99
M3GAN,4.3,1354,Prime Video,2023.0,PG-13,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",3.99
Justice League,4.5,39645,Prime Video,2017.0,PG-13,Zack Snyder,"Ben Affleck,Amy Adams,Gal Gadot,Ray Fisher",3.79
"Red, White & Royal Blue",4.7,3395,Prime Video,2023.0,R,Matthew López,"Nicholas Galitzine,Taylor Zakhar Perez,Uma Thurman",4.830464886251237
Saw,4.4,4792,Prime Video,2004.0,R,James Wan,"Cary Elwes,Danny Glover,Monica Potter,Michael Emerson",3.79
Smile,4.1,7864,Prime Video,2022.0,R,Parker Finn,"Sosie Bacon,Kyle Gallner,Jessie T. Usher",3.89
Love & Murder: Atlanta Playboy Part One,4.2,8,Prime Video,2023.0,R,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",4.830464886251237
Tales of Halloween,4.0,1307,Prime Video,2015.0,R,"Darren Lynn Bousman,Axelle Carolyn,Adam Gierasch","Lin Shaye,Pat Healy,Barry Bostwick,Joe Dante",4.830464886251237
The Addams Family 2,4.6,1696,Prime Video,2021.0,PG,"Greg Tiernan,Conrad Vernon,Laura Brousseau","Oscar Isaac,Charlize Theron,Chloë Grace Moretz",3.09
The Bourne Supremacy,4.8,9687,Prime Video,2004.0,PG-13,Paul Greengrass,"Matt Damon,Franka Potente,Brian Cox,Julia Stiles",3.99
Knock at the Cabin,4.0,7976,Prime Video,2023.0,R,M. Night Shyamalan,"Dave Bautista,Jonathan Groff,Ben Aldridge",5.99
The Blackening,4.3,2125,Prime Video,2023.0,R,Tim Story,"Sinqua Walls,Jay Pharoah,James Preston Rogers",5.99
Harlem Nights,4.8,7235,Prime Video,1989.0,R,Eddie Murphy,"Eddie Murphy,Richard Pryor,Redd Foxx,Danny Aiello",4.830464886251237
Godzilla vs. Kong,4.6,40533,Prime Video,2021.0,PG-13,Adam Wingard,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",3.99
The Black Phone,4.4,33531,Prime Video,2022.0,R,Scott Derrickson,"Ethan Hawke,Mason Thames,Madeleine McGraw",4.29
